input_text,aspect,polarity,extracted_nouns
decor nice casual fine dining,ambience,conflict,"['dining', 'decor']"
find returning quite often,anecdotesmiscellaneous,positive,[]
seating trying get maximum amount people restaurant nice neighbor dine,ambience,negative,"['people', 'seating', 'neighbor', 'amount']"
like took leftover chicken poured oil sprinkled pepper powder sauce translucent red,food,negative,"['sauce', 'powder', 'pepper', 'oil', 'chicken', 'red']"
finest latin women youll see life hang jimmys,ambience,positive,"['women', 'life']"
nice family owned traditional restaurant,anecdotesmiscellaneous,positive,"['family', 'restaurant']"
far favorite place neighborhood,anecdotesmiscellaneous,positive,"['place', 'neighborhood']"
ive bunch times service always outstanding,service,positive,"['service', 'bunch', 'times']"
food outstanding little perks great,service,positive,"['food', 'perks']"
terrible experience,anecdotesmiscellaneous,negative,['experience']
cute place could good need get act together,anecdotesmiscellaneous,conflict,['place']
worth visit,anecdotesmiscellaneous,positive,['visit']
makhani ok korma bland,food,negative,[]
bravo blue hill,anecdotesmiscellaneous,positive,[]
place got best japanese restaurant new york area,anecdotesmiscellaneous,positive,"['place', 'area', 'restaurant']"
make reservations expect delayed 1520 minutes hosting staff difficulty seating guests arrived reservation probably lot walk ins close time square,service,conflict,"['ins', 'reservation', 'minutes', 'guests', 'reservations', 'difficulty', 'time', 'square', 'staff', 'lot']"
need kick sushi pretty good place consistent,ambience,positive,"['place', 'sushi']"
love essabagel live west side often go murrays convenience,anecdotesmiscellaneous,positive,"['side', 'essabagel']"
keep capex minimum put cash bagels among best city,price,positive,"['cash', 'bagels', 'put', 'city']"
wont break bank also wouldnt come back food,food,negative,"['food', 'bank']"
staff attentive ambience lovely food superb,food,positive,"['ambience', 'food', 'superb', 'staff']"
cant wait go back,anecdotesmiscellaneous,positive,[]
incredible food warm atmosphere friendly service downtown neighborhood spot doesnt miss beat,food,positive,"['food', 'atmosphere', 'downtown', 'spot', 'neighborhood', 'service']"
chennai garden favorite indian restaurant city,anecdotesmiscellaneous,positive,"['restaurant', 'city']"
arrived 600 pm restaurant practically empty,anecdotesmiscellaneous,neutral,"['pm', 'restaurant']"
leon east village gem casual hip well prepared basic french bistro fare good specials warm lively atmosphere,food,positive,"['atmosphere', 'hip', 'gem', 'specials', 'bistro']"
one us actually liked expresso thats,food,conflict,[]
reservations expensive tips annoying stuff,service,positive,"['tips', 'stuff', 'reservations']"
portions large servers always surprise us different starter,food,positive,"['portions', 'servers', 'starter']"
pickles great addition,food,positive,['addition']
stick dimsum super overpriced noodles,price,negative,['noodles']
despite slightly limited menu everything prepared done perfection ultra fresh work food art,food,conflict,"['food', 'art', 'menu', 'perfection', 'work']"
food authentic,food,positive,['food']
first time writing review restaurant food service excellent,food,positive,"['food', 'review', 'time', 'service', 'restaurant']"
